word;file1
;22826
jeå›li;23
uwiä™zi;1
zagrzmiaå‚y;1
rodzinne;1
rodzinna;1
mã³wiä…;5
bywaå‚o;1
chorä…;3
obudziå‚;5
zmienione;1
profesorami;1
dziewczä…tka;2
takimi;1
mã³w;12
skã³rki;2
dobremu;2
mã³c;1
rozumieä‡;1
zatrzä™så‚a;1
opiekuje;2
leczcie;1
skazany;1
zatrzä™så‚o;1
mã³j;166
bliskich;2
pierå›;4
pokrzyå¾owanych;1
1;3
2;2
3;4
4;5
mã³wiä‡;17
zmieniony;1
5;5
6;1
bã³g;14
7;2
8;1
9;1
bã³j;9
idziesz;3
bã³l;3
odwaå¾yä‡;1
nadstawiå‚;1
kapelusiku;2
pã³å‚noc;3
pocieszali;1
szanujä…;1
przeleciaå‚a;1
å‚ã³dek;1
panicz;11
zmruå¾ywszy;1
cel;2
bå‚ysk;4
roku;26
pies;4
imieniny;1
powiedziaå‚a;6
siä…t;1
ocierajä…cy;1
nauczajcie;1
bä™dä…;13
kozieå‚;1
a;1249
d;1
tucuman;11
e;9
fajkä…;1
i;2746
uå›ciskaj;2
wylatujä…;2
jeå›lim;1
odåºwiernego;2
przeleciaå‚y;1
l;2
sztandarã³w;1
o;398
stä…d;14
r;5
miå‚osierny;1
rä…czä™ta;1
s;1
napadniä™tych;1
obwieszone;1
sukniach;1
t;3
u;68
w;1508
przybyå‚o;1
z;1503
radowaä‡;1
przeraå¾ajä…ce;1
pã³å‚ki;1
buzie;2
neapolu;6
dobywa;1
zasmucam;2
nauczycielaâ€¦;1
wå‚oszech;5
przybyå‚y;1
å›miech;3
idzieâ€¦;2
obwieszony;1
å‚amiä…c;1
szyä‡;1
widzä™;23
roma;1
wielkodusznego;1
cho;1
specjalnego;1
å›wiä™ty;1
przeczytaå‚;1
przeciä™tne;1
przytrzymaå‚;1
rodzinie;10
wstä…å¾kä…;1
chusteczki;1
å›wiä™to;2
odraå¾a;1
wä™zeå‚;1
sposoby;1
pä™dziå‚;1
chä™tnym;1
puå›ci;1
sposobu;3
wozami;2
å›wiä™te;4
pije;1
uå‚amka;1
zå‚oto;3
å›wiä™ta;4
korony;1
lekkich;1
szklanki;1
dalekich;3
przykå‚adâ€¦;1
uå‚amki;1
obrã³ciwszy;1
zå‚oty;2
wå‚osku;5
wdrapywaå‚;1
zamyå›lenia;1
jedwabiach;1
zå‚ota;5
wieå›niaka;1
niewzruszonej;1
zå‚ote;3
oczuâ€¦;1
niewidomymi;1
chwastu;1
dobrego;6
ludåºmi;4
kosze;1
iâ€¦;7
zgarbiony;3
kawaå‚;6
prymusem;2
gä™ba;2
biegnä™;1
dasze;1
wå‚oski;5
zgarbione;1
zamierajä…cym;1
wå‚oska;2
korona;1
zaciska;1
pili;1
powstrzymujä…c;2
ubrany;10
då‚uå¾ej;6
czapeczki;4
dumne;1
takiej;6
â€czy;1
koszu;1
spytaå‚em;2
dziewczynek;3
przytomniejszym;1
odparå‚;3
poså‚ucha;1
tutejszychâ€¦;1
niegorszy;1
mä…ciå‚y;1
wodach;1
muzyce;4
starania;1
wycierpieli;1
pamiä™tajcieå¾;2
byå‚oâ€¦;1
diabelski;1
najå¾ywszä…;1
przybywaå‚o;1
å¾ona;5
donoszä…c;2
pilniejsze;1
uczciwie;1
takich;15
pino;2
bä…dåºcieå¾;1
orzeåºwia;1
szlochaä‡;2
niesiem;1
odczuwa;1
utkwiå‚;3
wstä™powaä‡;1
bä™dä™;54
spuszcza;1
tuza;1
woå‚ajä…cy;1
bardzo;115
umierajä…c;1
kajut;2
srogie;1
wyzå‚acanej;1
poniedziaå‚ek;13
zapraszaå‚;1
biednemu;7
custozzä…;2
pisnä…å‚;4
srogim;1
å¾ony;2
ubrana;11
ucieszyå‚em;1
nastawionych;1
ubrane;1
dojdä…;2
ktã³rego;36
wybornym;2
zapiä™ty;1
mogli;7
ubrani;1
centymã³w;2
palcem;4
przecierpieä‡;2
wachlarzykã³w;1
poå‚oå¾y;1
ksztaå‚tã³w;3
dumny;2
com;7
baczny;1
powonieniem;1
jadä™;1
malarzem;1
pytaä‡;5
trä…caä‡;1
widoczniejszym;1
obroniä‡;1
odrywajä…c;1
mozoå‚em;1
wydzierajä…cym;1
tupotanie;1
så‚omä…;1
bolejä…c;1
prã³bowaä‡;1
å›mieje;11
miä™kko;1
oddaå‚;5
biednego;13
widzä…;7
krã³å‚;1
ktã³remu;15
ruchem;10
biegnä…cych;1
trzä…snä™libyå›cie;1
spodziewaä‡;2
wozach;1
zawieszajä…c;1
dziewczynka;25
gaå‚ä…åº;2
wesã³å‚;19
rigoletta;2
dziewczynki;8
ksztaå‚ci;1
czwartaki;1
wå‚oscy;1
powtarzaå‚a;1
powalony;1
biegnä…;1
babciuâ€¦;1
obecnoå›ä‡;2
dåºwignä…å‚;2
rowu;2
przedstawicielem;1
powalone;1
på‚aczä…c;11
pelerynce;1
malcze;3
zbliå¾aå‚;1
czapeczce;1
przebiegå‚;2
szturchali;2
samego;7
skryli;1
nagrodzonych;4
ä‡wiartek;1
onych;1
mieszkaå„;1
widziane;1
hucznej;1
pisz;1
przebijaå‚o;1
åšnieå¾na;1
uradowaå‚;1
å»ebraä‡;1
czytywano;1
robotnikã³w;10
mieszkaå‚;4
sznury;2
przebijaå‚y;1
wä™gli;1
porywaå‚a;1
powstanie;1
valdocco;2
wä™gle;1
bystrym;1
ubieleni;1
wä™gla;1
pomilczawszy;1
starym;3
krzyå¾ykiem;1
